,userId,movieId,rating,timestamp
0,1,30,2.5,1260759144
1,1,833,3.0,1260759179
2,1,859,3.0,1260759182
3,1,906,2.0,1260759185
4,1,931,4.0,1260759205
5,1,1017,2.0,1260759151
6,1,1041,2.0,1260759187
7,1,1047,2.0,1260759148
8,1,1083,3.5,1260759125
9,1,1087,2.0,1260759131
10,1,1111,2.5,1260759135
11,1,1140,1.0,1260759203
12,1,1515,4.0,1260759191
13,1,1665,4.0,1260759139
14,1,1708,3.0,1260759194
15,1,1743,2.0,1260759198
16,1,1815,2.0,1260759108
17,1,1962,2.5,1260759113
18,1,2380,1.0,1260759200
19,1,2925,3.0,1260759117
20,2,9,4.0,835355493
21,2,16,5.0,835355681
22,2,37,5.0,835355604
23,2,45,4.0,835355552
24,2,48,4.0,835355586
25,2,49,3.0,835356031
26,2,58,3.0,835355749
27,2,100,4.0,835355532
28,2,123,3.0,835356016
29,2,129,5.0,835355395
30,2,132,4.0,835355441
31,2,140,3.0,835355493
32,2,144,3.0,835355441
33,2,147,3.0,835355710
34,2,163,3.0,835355511
35,2,164,3.0,835355664
36,2,184,3.0,835355511
37,2,195,5.0,835355840
38,2,196,1.0,835355749
39,2,198,3.0,835355552
40,2,207,3.0,835355664
41,2,220,3.0,835355896
42,2,225,4.0,835355511
43,2,233,4.0,835355681
44,2,237,5.0,835355697
45,2,238,5.0,835355586
46,2,244,3.0,835355767
47,2,245,4.0,835355779
48,2,262,3.0,835355492
49,2,266,4.0,835355395
50,2,268,3.0,835355532
51,2,280,4.0,835356044
52,2,283,2.0,835355551
53,2,285,1.0,835355918
54,2,304,3.0,835355492
55,2,314,4.0,835355441
56,2,315,4.0,835355697
57,2,321,3.0,835355628
58,2,322,3.0,835355749
59,2,328,3.0,835355604
60,2,331,3.0,835355619
61,2,334,2.0,835355932
62,2,335,3.0,835355968
63,2,336,3.0,835356094
64,2,341,3.0,835355710
65,2,346,3.0,835356165
66,2,357,2.0,835356246
67,2,361,3.0,835355532
68,2,403,4.0,835355604
69,2,406,3.0,835355511
70,2,416,4.0,835355790
71,2,422,2.0,835355828
72,2,427,4.0,835355643
73,2,432,3.0,835355918
74,2,444,3.0,835355880
75,2,447,4.0,835355731
76,2,454,4.0,835355860
77,2,455,4.0,835355719
78,2,461,4.0,835355817
79,2,472,4.0,835355731
80,2,481,4.0,835356199
81,2,483,3.0,835355767
82,2,493,3.0,835356109
83,2,494,5.0,835355767
